peak_date,trough_date,depth,duration_days,anchor_factor_move
2025-08-04,2025-08-05,-0.003820729314038984,1,0.010052676872500665
2022-10-07,2022-10-10,-0.003693206821924755,3,-0.035316341715222244
2022-06-03,2022-06-06,-0.003504531702414271,3,-0.01341664702269274
2026-04-02,2026-04-06,-0.003146482658289096,4,0.005631560947811476
2016-11-18,2016-11-21,-0.003016205806132266,3,0.0052970082317149725
2016-04-01,2016-04-05,-0.0027481347423383706,4,-0.006471094335919858
2016-11-22,2016-11-25,-0.0021784896496656048,3,0.006222964532381026
2021-02-03,2021-02-04,-0.0021195812743439735,1,0.012160857746269516
2018-05-11,2018-05-14,-0.0016431915769309358,3,0.003529078511034678
2017-11-14,2017-11-15,-0.001635726795342185,1,-0.007316163191569136
2025-06-24,2025-06-25,-0.0013252676627740767,1,0.011613762326351251
2024-03-21,2024-03-22,-0.0004734738254654758,1,0.0014025327361510964
2018-03-07,2018-03-08,-1.4559614625042627e-05,1,0.00447064605482006
