Ticker,variance_contribution,absolute_share_of_portfolio_variance
SBAC,53792812.89673354,0.000454910465199919
VMRK,53015181.78342171,0.00044833426082500156
CAT,52014532.88767751,0.00043987205871747024
UNH,51515174.592865296,0.0004356491281443739
CBRE,50819976.34783947,0.0004297700350086797
PTC,-50360258.61488352,0.00042588233335304947
NXPI,-49775203.66180344,0.00042093469060039954
LYB,48902227.55994011,0.00041355218087053234
ELV,47268012.23593758,0.00039973208831084456
GWW,46812225.59877042,0.00039587763081029223
BRO,46730317.64068623,0.0003951849585868266
ON,-45869675.07461011,0.0003879067500488917
PHM,45862276.93239375,0.00038784418607173515
IT,45770963.81581674,0.0003870719771073025
GPN,45547696.319182605,0.0003851838676129574
C,45345778.87926045,0.00038347630945452277
MAR,44930675.23617274,0.0003799658964232184
ED,44180822.49104032,0.00037362460577953203
EG,44050684.56137822,0.0003725240664521615
PFE,-42786173.597896464,0.0003618304581489078
AMCR,42738844.22102989,0.0003614302071174303
AZO,42555075.29239887,0.00035987612573906263
JBL,41604521.87945368,0.0003518375668313814
LHX,40964546.95817048,0.00034642548158281657
HSY,40560647.56321592,0.00034300981968007373
CCI,39226982.94830327,0.00033173139868440524
VRTX,38389151.31537331,0.00032464609569742356
AES,-37797537.90654027,0.0003196429899563759
GRMN,37158977.48840626,0.0003142428667572183
PANW,36233243.94785042,0.0003064142024262813
PNW,35929572.10023437,0.00030384613628457697
PCG,34910341.03151608,0.00029522679004390096
FLEX,34771871.7632331,0.0002940557949637324
HIG,34748301.96201366,0.00029385647188207855
HAS,34695393.00034014,0.00029340903589440584
EW,34622762.544816144,0.0002927948208621201
APH,34415749.72549651,0.000291044172534437
TFC,34178829.31965186,0.00028904060428369227
MTD,-34129598.25566313,0.0002886242712269995
NWSA,32747686.42798018,0.00027693783732358313
NVR,-32422284.811940428,0.000274186008732399
UNP,30752981.92361066,0.00026006919065583816
WYNN,30548983.977601796,0.00025834403825124335
MS,30304904.5966518,0.00025627992859133717
SWK,30215486.18879023,0.00025552374263772607
LII,30213047.90154317,0.0002555031227384101
CDNS,30176919.02305958,0.00025519759112492725
SBUX,29807362.689618323,0.0002520723586912549
CMCSA,29052186.667166937,0.0002456860506106443
ODFL,29002366.723170582,0.00024526473756380433
BAX,28998954.282714345,0.0002452358795288398
PWR,28845270.697442856,0.00024393622131234802
NWS,28757632.653167706,0.0002431950913854384
DG,28741569.691653628,0.00024305925150458135
EXPE,-27533315.64097831,0.00023284139185616407
GPC,27360283.736659613,0.0002313781104278596
SCHW,27152914.73849417,0.00022962444999733743
DAL,26844939.106589984,0.00022701998798028834
CAH,26713040.590186674,0.00022590455987335156
JBHT,26421979.388110902,0.00022344313836166895
KHC,-26254259.27937175,0.0002220247772724956
CTSH,26194172.672949158,0.00022151664199181306
ATO,26146251.6237888,0.00022111138735662124
DOW,-26089069.481135417,0.00022062781429704701
HII,25375702.04842275,0.0002145950695269088
AWK,25109642.80864624,0.00021234508247436673
CL,24805333.84129419,0.0002097716283929009
AMP,24790102.88353014,0.0002096428245302885
BDX,24594290.76732477,0.00020798689735195398
IRM,24148166.747100867,0.00020421415384500052
KVUE,23986753.33443019,0.0002028491266844301
BNY,22941104.94354157,0.00019400637669015396
CMS,22731499.971279,0.0001922338072648809
BMY,22468106.061838873,0.00019000636015025887
KIM,22350844.904554423,0.00018901471601161614
MO,22100190.297431994,0.00018689500154066142
IFF,21643692.39837956,0.0001830345291013527
TMO,21469738.804295827,0.00018156345320577272
MCK,21456809.252827868,0.00018145411167934232
SYF,21157116.537552238,0.00017891969592412268
PM,20922468.93680217,0.00017693534813736212
CSX,20701876.219849247,0.00017506985849134916
KR,20225296.688458968,0.00017103956141903008
AME,19639291.618386414,0.0001660838837981559
WEC,19511514.331361335,0.00016500330775179537
HCA,19045379.678662077,0.00016106134003740396
VRSN,18926113.874338504,0.00016005274317091488
GEN,17219896.952549025,0.00014562375364933592
PCAR,-17212840.224424068,0.0001455640769137044
FISV,-17011213.24204859,0.00014385897507184007
COF,16786088.50515368,0.00014195515942670036
NKE,16751200.800209496,0.00014166012406358628
LNT,16521578.059682077,0.00013971827008554024
CNP,16149099.457295332,0.00013656832485746574
FITB,16095228.152708486,0.00013611275061044554
AMT,15769163.125394978,0.00013335531173946916
LYV,15665762.090044573,0.0001324808786960865
CSGP,15123782.82910887,0.0001278975147772991
CRL,-14727610.37680868,0.00012454719742317137
LLY,14676125.041155865,0.00012411180063442642
CPT,14623303.555801708,0.00012366510440901915
STZ,13902240.797598045,0.00011756728246759241
L,13611343.032468015,0.00011510724309551202
CFG,13302196.68421888,0.00011249288066447785
AXP,12640196.046434358,0.0001068945302180098
AEE,12180579.535923664,0.00010300768457170824
LDOS,-12007200.761196721,0.00010154146975936451
MAA,11762541.956681302,9.947246007974385e-05
RTX,11391242.551297566,9.633248698415908e-05
SOLV,-11323147.558388237,9.575662706470041e-05
TDG,-10986611.53115175,9.291063793599323e-05
GS,10471270.533782734,8.855254620913421e-05
EQIX,10389521.21456408,8.786121554927589e-05
LEN,10246105.118835956,8.664838656132016e-05
