!ModelVer:100
!ReleaseDateTime:20160301 19:05:37
!Model|ModelVer|Factor|FactorDisplayName|FactorGroup|FactorNum|StartDate|EndDate
GEM3L|100|GEM3L_TUN|GEM Tunisia Mkt|3-Countries|114|20050131|20751231
GEM3L|100|GEM3L_BGR|GEM Bulgaria Mkt|3-Countries|115|20060131|20751231
GEM3L|100|GEM3L_KAZ|GEM Kazakhstan Mkt|3-Countries|116|20060731|20751231
GEM3L|100|GEM3L_UKR|GEM Ukraine Mkt|3-Countries|117|20061229|20751231
GEM3L|100|GEM3L_VNM|GEM Vietnam Mkt|3-Countries|118|20070731|20751231
GEM3L|100|GEM3L_SRB|GEM Serbia Mkt|3-Countries|119|20091030|20751231
GEM3L|100|GEM3L_JAM|GEM Jamaica Mkt|3-Countries|120|20090529|20751231
GEM3L|100|GEM3L_BGD|GEM Bangladesh Mkt|3-Countries|121|20100531|20751231
GEM3L|100|GEM3L_BIH|GEM Bosnia and Herzegovina Mkt|3-Countries|122|20110429|20751231
GEM3L|100|GEM3L_ARGC|GEM Argentina|4-Currencies|123|19961231|20751231
GEM3L|100|GEM3L_AUSC|GEM Australia|4-Currencies|124|19961231|20751231
GEM3L|100|GEM3L_AUTC|GEM Austria|4-Currencies|125|19961231|20751231
GEM3L|100|GEM3L_BELC|GEM Belgium|4-Currencies|126|19961231|20751231
GEM3L|100|GEM3L_BRAC|GEM Brazil|4-Currencies|127|19961231|20751231
GEM3L|100|GEM3L_CANC|GEM Canada|4-Currencies|128|19961231|20751231
GEM3L|100|GEM3L_CHLC|GEM Chile|4-Currencies|129|19961231|20751231
GEM3L|100|GEM3L_CHNC|GEM China Domestic|4-Currencies|130|19961231|20751231
GEM3L|100|GEM3L_COLC|GEM Colombia|4-Currencies|131|19961231|20751231
GEM3L|100|GEM3L_CZEC|GEM Czech Republic|4-Currencies|132|19961231|20751231
GEM3L|100|GEM3L_DNKC|GEM Denmark|4-Currencies|133|19961231|20751231
GEM3L|100|GEM3L_EGYC|GEM Egypt|4-Currencies|134|19961231|20751231
GEM3L|100|GEM3L_FINC|GEM Finland|4-Currencies|135|19961231|20751231
GEM3L|100|GEM3L_FRAC|GEM France|4-Currencies|136|19961231|20751231
GEM3L|100|GEM3L_DEUC|GEM Germany|4-Currencies|137|19961231|20751231
GEM3L|100|GEM3L_GRCC|GEM Greece|4-Currencies|138|19961231|20751231
GEM3L|100|GEM3L_HKGC|GEM Hong Kong|4-Currencies|139|19961231|20751231
GEM3L|100|GEM3L_HUNC|GEM Hungary|4-Currencies|140|19961231|20751231
GEM3L|100|GEM3L_INDC|GEM India|4-Currencies|141|19961231|20751231
GEM3L|100|GEM3L_IDNC|GEM Indonesia|4-Currencies|142|19961231|20751231
GEM3L|100|GEM3L_IRLC|GEM Ireland|4-Currencies|143|19961231|20751231
GEM3L|100|GEM3L_ISRC|GEM Israel|4-Currencies|144|19961231|20751231
GEM3L|100|GEM3L_ITAC|GEM Italy|4-Currencies|145|19961231|20751231
GEM3L|100|GEM3L_JPNC|GEM Japan|4-Currencies|146|19961231|20751231
GEM3L|100|GEM3L_JORC|GEM Jordan|4-Currencies|147|19961231|20751231
GEM3L|100|GEM3L_KORC|GEM Korea|4-Currencies|148|19961231|20751231
GEM3L|100|GEM3L_MYSC|GEM Malaysia|4-Currencies|149|19961231|20751231
GEM3L|100|GEM3L_MEXC|GEM Mexico|4-Currencies|150|19961231|20751231
GEM3L|100|GEM3L_NLDC|GEM Netherlands|4-Currencies|151|19961231|20751231
GEM3L|100|GEM3L_NZLC|GEM New Zealand|4-Currencies|152|19961231|20751231
GEM3L|100|GEM3L_NORC|GEM Norway|4-Currencies|153|19961231|20751231
GEM3L|100|GEM3L_PAKC|GEM Pakistan|4-Currencies|154|19961231|20751231
GEM3L|100|GEM3L_PHLC|GEM Philippines|4-Currencies|155|19961231|20751231
GEM3L|100|GEM3L_POLC|GEM Poland|4-Currencies|156|19961231|20751231
GEM3L|100|GEM3L_PRTC|GEM Portugal|4-Currencies|157|19961231|20751231
GEM3L|100|GEM3L_RUSC|GEM Russia|4-Currencies|158|19961231|20751231
GEM3L|100|GEM3L_SGPC|GEM Singapore|4-Currencies|159|19961231|20751231
GEM3L|100|GEM3L_ZAFC|GEM South Africa|4-Currencies|160|19961231|20751231
GEM3L|100|GEM3L_ESPC|GEM Spain|4-Currencies|161|19961231|20751231
GEM3L|100|GEM3L_LKAC|GEM Sri Lanka|4-Currencies|162|19961231|20751231
GEM3L|100|GEM3L_SWEC|GEM Sweden|4-Currencies|163|19961231|20751231
GEM3L|100|GEM3L_CHEC|GEM Switzerland|4-Currencies|164|19961231|20751231
GEM3L|100|GEM3L_TWNC|GEM Taiwan|4-Currencies|165|19961231|20751231
GEM3L|100|GEM3L_THAC|GEM Thailand|4-Currencies|166|19961231|20751231
GEM3L|100|GEM3L_TURC|GEM Turkey|4-Currencies|167|19961231|20751231
GEM3L|100|GEM3L_GBRC|GEM United Kingdom|4-Currencies|168|19961231|20751231
GEM3L|100|GEM3L_USAC|GEM United States|4-Currencies|169|19961231|20751231
GEM3L|100|GEM3L_MARC|GEM Morocco|4-Currencies|170|19970530|20751231
GEM3L|100|GEM3L_PERC|GEM Peru|4-Currencies|171|19970630|20751231
GEM3L|100|GEM3L_SVNC|GEM Slovenia|4-Currencies|172|20000831|20751231
GEM3L|100|GEM3L_NGAC|GEM Nigeria|4-Currencies|173|20010228|20751231
GEM3L|100|GEM3L_BHRC|GEM Bahrain|4-Currencies|174|20010531|20751231
GEM3L|100|GEM3L_KWTC|GEM Kuwait|4-Currencies|175|20010531|20751231
GEM3L|100|GEM3L_OMNC|GEM Oman|4-Currencies|176|20010531|20751231
GEM3L|100|GEM3L_QATC|GEM Qatar|4-Currencies|177|20010531|20751231
GEM3L|100|GEM3L_SAUC|GEM Saudi Arabia|4-Currencies|178|20010531|20751231
GEM3L|100|GEM3L_AREC|GEM United Arab Emirates|4-Currencies|179|20010531|20751231
GEM3L|100|GEM3L_ISLC|GEM Iceland|4-Currencies|180|20010928|20751231
GEM3L|100|GEM3L_HRVC|GEM Croatia|4-Currencies|181|20011130|20751231
GEM3L|100|GEM3L_LVAC|GEM Latvia|4-Currencies|182|20021129|20751231
GEM3L|100|GEM3L_LTUC|GEM Lithuania|4-Currencies|183|20021129|20751231
GEM3L|100|GEM3L_ROUC|GEM Romania|4-Currencies|184|20021129|20751231
GEM3L|100|GEM3L_ESTC|GEM Estonia|4-Currencies|185|20021231|20751231
GEM3L|100|GEM3L_CYPC|GEM Cyprus|4-Currencies|186|20030131|20751231
