,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"MSFT,AAPL,AMZN,PEP,ADBE,COST,CHTR",0.244205156,-0.015451791,0.132331275
Equal-weighted,"MSFT,CSCO,CMCSA,PEP,COST,TXN,CHTR",0.227548271,-0.015452309,0.082141657
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,ADBE,PYPL,COST",0.30785634,-0.015454634,0.129016789
Equal-weighted,"GOOG,CMCSA,PEP,ADBE,PYPL,COST,CHTR",0.291810567,-0.015456918,0.109625577
Equal-weighted,"MSFT,AAPL,GOOG,PYPL,COST,AMGN,CHTR",0.327585434,-0.01545706,0.126902014
Equal-weighted,"MSFT,AAPL,AMZN,GOOG,PEP,COST,CHTR",0.264720411,-0.01545901,0.118004193
Equal-weighted,"MSFT,AAPL,GOOG,PEP,ADBE,AMGN,CHTR",0.265743447,-0.015459581,0.105731873
Equal-weighted,"MSFT,AMZN,PEP,ADBE,PYPL,COST,CHTR",0.280298296,-0.015459648,0.135386416
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,PEP,PYPL,COST",0.328371595,-0.015461853,0.114689706
Equal-weighted,"MSFT,CMCSA,PEP,COST,AMGN,AVGO,CHTR",0.258976023,-0.015464373,0.086454005
Equal-weighted,"MSFT,AMZN,GOOG,PEP,PYPL,COST,CHTR",0.300813551,-0.015466867,0.121059334
Equal-weighted,"MSFT,GOOG,PEP,ADBE,PYPL,AMGN,CHTR",0.301836587,-0.015467438,0.108787014
Equal-weighted,"MSFT,AAPL,CMCSA,ADBE,COST,TXN,CHTR",0.276035125,-0.015473309,0.115780396
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,COST,TXN,CHTR",0.29655038,-0.015480528,0.101453314
Equal-weighted,"MSFT,AAPL,GOOG,CSCO,PEP,ADBE,COST",0.24215808,-0.015481068,0.098890153
Equal-weighted,"MSFT,CMCSA,ADBE,PYPL,COST,TXN,CHTR",0.312128265,-0.015481166,0.118835537
Equal-weighted,"MSFT,AMZN,CMCSA,PEP,COST,AMGN,CHTR",0.210249869,-0.015482861,0.099382544
Equal-weighted,"MSFT,AAPL,CSCO,PEP,PYPL,COST,CHTR",0.303373557,-0.015482902,0.129026402
Equal-weighted,"MSFT,AAPL,PEP,COST,AMGN,TXN,CHTR",0.246646791,-0.015485462,0.107448942
Equal-weighted,"MSFT,GOOG,CMCSA,PYPL,COST,TXN,CHTR",0.33264352,-0.015488385,0.104508455
Equal-weighted,"MSFT,GOOG,CSCO,PEP,ADBE,PYPL,COST",0.278251221,-0.015488926,0.101945294
