,Ticker,one_year,avg_drawdown,yearly_vol,
Equal-weighted,"NFLX,BABA,TSLA,FB,GOOG,SEDG",0.597312336,-0.027983218,0.414142763,
Equal-weighted,"TWTR,TSLA,AMZN,SEDG",0.597307694,-0.034087845,0.373193868,
Equal-weighted,"NFLX,BABA,TWTR,TSLA,AAPL,AMZN,FB,GOOG",0.59725291,-0.041496461,0.396676872,
Equal-weighted,"NFLX,NVDA,TWTR,TSLA,FSLR",0.597214126,-0.036801656,0.39212849,
Equal-weighted,"NVDA,BABA,TWTR,TSLA,FB,FSLR",0.597082711,-0.040813771,0.429272059,
Equal-weighted,"NVDA,BIDU,TSLA,AAPL,FB",0.59694697,-0.026070628,0.386606057,
Equal-weighted,"NFLX,TWTR,ENPH,SEDG",0.596911021,-0.038737704,0.338039713,
Equal-weighted,"BABA,BIDU,TSLA,AAPL,GOOG,FSLR",0.59678789,-0.034410569,0.385745967,
Equal-weighted,"BABA,TWTR,ENPH,FB,SEDG",0.596779606,-0.042840582,0.375183282,
Equal-weighted,"NFLX,BIDU,TWTR,TSLA,AMZN,FB",0.596703785,-0.039535044,0.353301505,
Equal-weighted,"NFLX,NVDA,BABA,AAPL,AMZN,ENPH,FB",0.596651811,-0.033239915,0.394810402,
Equal-weighted,"NFLX,TSLA,FSLR,SEDG",0.596347813,-0.025993536,0.39421128,
Equal-weighted,"NFLX,TWTR,TSLA,AAPL,AMZN,FSLR",0.596288387,-0.039129695,0.376745389,
Equal-weighted,"BABA,TSLA,FB,FSLR,SEDG",0.596216399,-0.030096415,0.431354849,
Equal-weighted,"BABA,TWTR,TSLA,AAPL,AMZN,FB,FSLR",0.596156972,-0.043141809,0.413888958,
Equal-weighted,"BABA,BIDU,TWTR,TSLA,AAPL,GOOG",0.596105912,-0.039500175,0.362576119,
Equal-weighted,"NFLX,BABA,BIDU,AMZN,ENPH,FSLR",0.595943606,-0.03961844,0.350574946,
Equal-weighted,"NFLX,BABA,TWTR,AAPL,ENPH,FB,FSLR",0.595760299,-0.04826621,0.378734803,
Equal-weighted,"NFLX,TWTR,TSLA,SEDG",0.595665835,-0.034971293,0.371041432,
Equal-weighted,"BABA,TWTR,TSLA,FB,SEDG",0.59553442,-0.039074171,0.408185001,
Equal-weighted,"NVDA,BABA,BIDU,AAPL,ENPH",0.595504813,-0.03124363,0.360709649,
Equal-weighted,"NFLX,NVDA,BABA,TSLA,AAPL,AMZN,FB",0.595406625,-0.029149249,0.427812121,
Equal-weighted,"NVDA,AAPL,ENPH,FB,GOOG,FSLR",0.595287221,-0.032750942,0.382249526,
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AMZN,ENPH",0.595261628,-0.044708046,0.327405098,
Equal-weighted,"NFLX,TWTR,AMZN,ENPH,FB,GOOG,FSLR",0.595044037,-0.046215358,0.348944974,
Equal-weighted,"NVDA,BIDU,AMZN,ENPH,GOOG",0.59478855,-0.029192778,0.33091982,
Equal-weighted,"NFLX,BABA,BIDU,TSLA,AMZN,FSLR",0.59469842,-0.035527773,0.383576665,
Equal-weighted,"NFLX,NVDA,BIDU,AAPL,AMZN,GOOG,FSLR,SEDG",0.594691987,-0.041074452,0.33218385,
