,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,SEDG,ALXN",0.889753441,-0.054239202,0.543674628
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,SEDG,AMGN",0.864596969,-0.049662601,0.53626095
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,SEDG,ETN",0.871978616,-0.04878313,0.540010629
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,AXP,BEN",0.748937137,-0.052025186,0.47568105
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,AXP,ALXN",0.771098983,-0.050443486,0.483170931
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,AXP,AMGN",0.745942511,-0.045712685,0.475757253
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,AXP,ETN",0.753324158,-0.045019578,0.479506932
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,BEN,ALXN",0.779121401,-0.057084312,0.481486666
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,BEN,AMGN",0.753964929,-0.052353511,0.474072987
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,BEN,ETN",0.761346576,-0.051660404,0.477822667
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,ALXN,AMGN",0.776126775,-0.050771811,0.481562868
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,ALXN,ETN",0.783508423,-0.050078704,0.485312547
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,AMGN,ETN",0.75835195,-0.045347904,0.477898869
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,GOOG,FSLR",0.593731174,-0.04317095,0.379160014
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,GOOG,SEDG",0.662028249,-0.04412941,0.413706441
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,GOOG,AXP",0.54337379,-0.039675017,0.353202744
