,Ticker,one_year,avg_drawdown,yearly_vol,Ticker total
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,DIS,CMCSA",0.326901102,-0.043031043,0.231760127,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.320359553,-0.040419879,0.23219221,21
Equal-weighted,"NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.319697894,-0.042218151,0.232290951,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.361860193,-0.042476715,0.232361065,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.344314719,-0.043108774,0.232502519,21
Equal-weighted,"NFLX,BABA,TWTR,AAPL,AMZN,FB,GOOG,SEDG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.340361106,-0.039644449,0.232572734,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,VZ,CRM,ADBE,DIS,CMCSA",0.338987787,-0.043032909,0.232706615,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,DIS,CMCSA",0.328383691,-0.040792558,0.232737605,21
Equal-weighted,"NFLX,BIDU,TWTR,AAPL,AMZN,FB,GOOG,SEDG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.381861745,-0.041701285,0.232741588,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AMZN,FB,GOOG,SEDG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.364316272,-0.042333344,0.232883042,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,DIS,CMCSA",0.36988433,-0.042849394,0.23290646,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,DIS,CMCSA",0.352338857,-0.043481453,0.233047913,21
Equal-weighted,"NVDA,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.321180483,-0.039780623,0.233268428,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,ADBE,DIS,CMCSA",0.329972198,-0.042514939,0.233423373,21
